1,一起,yi4 qi3,in the same place; together; with; altogether (in total),chi-f5bd5fb8.ogg
2,丈夫,zhang4 fu5,husband,cmn-100b34f0.ogg
3,上班,shang4 ban1,to go to work; to be on duty; to start work; to go to the office,cmn-26957049.ogg
4,两,liang3,both; two; ounce; some; a few; tael; weight equal to 50 grams,chi-0c08ffe8.ogg
5,为什么,wei4 shen2 me5,why?; for what reason?,chi-caa0926d.ogg
6,也,ye3,also; too; (in classical Chinese) final particle serving as copula,chi-37490b61.ogg
7,事情,shi4 qing2,affair; matter; thing; business,chi-2351822d.ogg
8,介绍,jie4 shao4,to present; to introduce; to recommend; to suggest; to let know; to brief,chi-4647307c.ogg
9,从,cong2,from; via; passing through; through (a gap); past; ever (followed by negative, meaning never); (formerly pr. zong4 and related to 縱|纵) to follow; to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor; surname Cong,chi-801024cf.ogg
10,件,jian4,item; component; classifier for events, things, clothes etc,chi-4c0e7ede.ogg
11,休息,xiu1 xi5,rest; to rest,chi-cb4e500d.ogg
12,但是,dan4 shi4,but; however,chi-46ab9acc.ogg
13,便宜,pian2 yi5,small advantages; to let sb off lightly; cheap; inexpensive,
14,做,zuo4,to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance,chi-b839ed4a.ogg
15,元,yuan2,Chinese monetary unit; dollar; primary; first; the Yuan or Mongol dynasty (1279-1368); surname Yuan,chi-15fd9513.ogg
16,公共汽车,gong1 gong4 qi4 che1,bus,chi-72fa15e8.ogg
17,公司,gong1 si1,(business) company; company; firm; corporation; incorporated,cmn-5f781fbc.ogg
18,公斤,gong1 jin1,kilogram (kg),chi-b6769898.ogg
19,再,zai4,again; once more; re-; second; another; then (after sth, and not until then),chi-2b390e52.ogg
20,准备,zhun3 bei4,preparation; prepare,chi-1b127b81.ogg
21,出,chu1,to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc,chi-01eda419.ogg
22,别,bie2,to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin,chi-3e05ce36.ogg
23,到,dao4,to (a place); until (a time); up to; to go; to arrive,chi-9a47e4e5.ogg
24,千,qian1,thousand,chi-7c6c1f67.ogg
25,卖,mai4,to sell; to betray; to spare no effort; to show off or flaunt,chi-8de1c7d6.ogg
26,去年,qu4 nian2,last year,chi-5fda963d.ogg
27,可以,ke3 yi3,can; may; possible; able to,chi-2e4fc1cd.ogg
28,可能,ke3 neng2,might (happen); possible; probable; possibility; probability; maybe; perhaps,chi-2e84f159.ogg
29,右边,you4 bian5,right side; right, to the right,cmn-a430e4a3.ogg
30,号,hao4,day of a month; (suffix used after) name of a ship; (ordinal) number,chi-0833556b.ogg
31,向,xiang4,direction; orientation; to face; to turn toward; to; towards; shortly before; formerly; to side with; to be partial to; all along (previously); surname Xiang,chi-32385544.ogg
32,吧,ba5,(modal particle indicating polite suggestion); ...right?; ...OK?,cmn-699b7708.ogg
33,告诉,gao4 su5,to tell; to inform; to let know,chi-d3ce9912.ogg
34,咖啡,ka1 fei1,coffee,chi-bf8b9553.ogg
35,哥哥,ge1 ge5,older brother,chi-5dfad60c.ogg
36,唱歌,chang4 ge1,to sing a song,cmn-f923075d.ogg
37,回答,hui2 da2,to reply; to answer; the answer,chi-ec81e500.ogg
38,因为,yin1 wei4,because; owing to; on account of,chi-0ddbf6b4.ogg
39,坐,zuo4,to sit; to take a seat; to take (a bus, airplane etc); to bear fruit; surname Zuo,chi-6faa66b9.ogg
40,外,wai4,outside; in addition; foreign; external,chi-e8600c62.ogg
41,大家,da4 jia1,authority; everyone,chi-18981d0a.ogg
42,女人,nv3 ren2,woman,cmn-db3ebedc.ogg
43,好吃,hao3 chi1,tasty; delicious,chi-f02dc948.ogg
44,妹妹,mei4 mei5,younger sister; fig. younger woman (esp. girl friend or rival),chi-f81af744.ogg
45,妻子,qi1 zi5,wife,cmn-86d0cb94.ogg
46,姐姐,jie3 jie5,older sister,chi-cc45cdaa.ogg
47,姓,xing4,family name; surname; name,chi-ba3cab38.ogg
48,孩子,hai2 zi5,child,chi-edcbcc73.ogg
49,它,ta1,it,chi-df47225c.ogg
50,完,wan2,to finish; to be over; whole; complete; entire,chi-6922d633.ogg
51,对,dui4,couple; pair; to be opposite; to oppose; to face; versus; for; to; correct (answer); to answer; to reply; to direct (towards sth); right,chi-3a3c9bf3.ogg
52,小时,xiao3 shi2,hour,chi-8f822007.ogg
53,就,jiu4,at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning,chi-dfc73c75.ogg
54,左边,zuo3 bian5,left; the left side; to the left of,cmn-52a6b049.ogg
55,已经,yi3 jing1,already,chi-bfafdca6.ogg
56,希望,xi1 wang4,to wish for; to desire; hope,chi-ec38578b.ogg
57,帮助,bang1 zhu4,assistance; aid; to help; to assist,chi-6c8874ba.ogg
58,开始,kai1 shi3,to begin; beginning; to start; initial,chi-61542e2d.ogg
59,弟弟,di4 di5,younger brother,chi-ccd1ca26.ogg
60,张,zhang1,to open up; to spread; sheet of paper; classifier for flat objects, sheet; classifier for votes,chi-cb6aebc5.ogg
61,得,de5,structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc,chi-2f238cc8.ogg
62,忙,mang2,busy; hurriedly,chi-11ca5549.ogg
63,快,kuai4,rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plain-spoken; gratified; pleased; pleasant,chi-60fdcd5d.ogg
64,快乐,kuai4 le4,happy; merry,cmn-9455d49a.ogg
65,您,nin2,you (polite, as opposed to informal 你[ni3]),chi-f2299201.ogg
66,意思,yi4 si5,idea; opinion; meaning; wish; desire,chi-efcb8f1c.ogg
67,慢,man4,slow,chi-310e5e4a.ogg
68,懂,dong3,to understand; to know,chi-bfe9479f.ogg
69,房间,fang2 jian1,room,chi-19d26513.ogg
70,所以,suo3 yi3,therefore; as a result; so,chi-32d7dd89.ogg
71,手机,shou3 ji1,cell phone; cellular phone; mobile phone,cmn-c2050caa.ogg
72,手表,shou3 biao3,wrist watch,chi-5c7b9694.ogg
73,打篮球,da3 lan2 qiu2,play basketball,cmn-561c47b7.ogg
74,找,zhao3,to try to find; to look for; to call on sb; to find; to seek; to return; to give change,chi-35aa2dbe.ogg
75,报纸,bao4 zhi3,newspaper; newsprint,cmn-8701a391.ogg
76,教室,jiao4 shi4,classroom,chi-7d70645f.ogg
77,新,xin1,new; newly; meso- (chemistry),chi-a85a136a.ogg
78,旁边,pang2 bian1,lateral; side; to the side; beside,chi-7d409ef8.ogg
79,旅游,lv3 you2,trip; journey; tourism; travel; tour,cmn-8cb75729.ogg
80,早上,zao3 shang5,early morning, Good morning!,cmn-70dbefe0.ogg
81,时间,shi2 jian1,time; period,chi-139e9dbb.ogg
82,晚上,wan3 shang5,in the evening,chi-780daec3.ogg
83,晴,qing2,clear; fine (weather),chi-153ed9e6.ogg
84,最,zui4,most; the most; -est,chi-be8b5516.ogg
85,服务员,fu2 wu4 yuan2,waiter; waitress; attendant; customer service personnel,chi-74bd82a0.ogg
86,机场,ji1 chang3,airport; airfield,chi-3ab885f3.ogg
87,次,ci4,next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time,chi-0b919ae9.ogg
88,欢迎,huan1 ying2,to welcome; welcome,chi-652d0b77.ogg
89,正在,zheng4 zai4,in the process of (doing something or happening); while (doing),chi-5deaf0cd.ogg
90,每,mei3,each; every,chi-4668426e.ogg
91,比,bi3,(particle used for comparison and -er than); to compare; to contrast; to gesture (with hands); ratio,chi-ae050c05.ogg
92,水,shui3,water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes,chi-cc2b6968.ogg
93,洗,xi3,to wash; to bathe,chi-9105a22b.ogg
94,游泳,you2 yong3,swim,chi-23c7acc5.ogg
95,牛奶,niu2 nai3,cow's milk,chi-07dc259a.ogg
96,玩,wan2,toy; sth used for amusement; curio or antique (Taiwan pr. wan4); to play; to have fun; to trifle with; to keep sth for entertainment,cmn-38ee8a8f.ogg
97,生日,sheng1 ri4,birthday,chi-2c40b8af.ogg
98,生病,sheng1 bing4,to fall ill; to sicken,cmn-745957ec.ogg
99,男人,nan2 ren2,a man; a male; men,cmn-85d519b6.ogg
100,白,bai2,white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; surname Bai,chi-7046ac94.ogg
101,百,bai3,hundred; numerous; all kinds of; surname Bai,chi-e3c74e8b.ogg
102,真,zhen1,really; truly; indeed; real; true; genuine,chi-f56dd649.ogg
103,眼睛,yan3 jing5,eye,chi-a4eaef6c.ogg
104,着,zhe5,particle attached after verb to indicate action in progress, like -ing ending,chi-22ddc428.ogg
105,知道,zhi1 dao5,to know; to be aware of,chi-6adb94d1.ogg
106,票,piao4,ticket; ballot; bank note; person held for ransom; amateur performance of Chinese opera; classifier for shipments and business transactions (topolect),chi-76043924.ogg
107,离,li2,to leave; to part from; to be away from; (in giving distances) from; without (sth); independent of; one of the eight trigrams of the Book of Changes representing fire (old),chi-5a764ab3.ogg
108,穿,chuan1,to bore through; pierce; perforate; penetrate; pass through; to dress; to wear; to put on; to thread,chi-db2f7d41.ogg
109,笑,xiao4,laugh; smile,chi-64c0894f.ogg
110,第一,di4 yi1,first; number one,cmn-8e3e0311.ogg
111,等,deng3,class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once,chi-df47edd9.ogg
112,累,lei4,tired; weary; to strain; to wear out; to work hard,chi-a12f9b22.ogg
113,红,hong2,bonus; popular; red; revolutionary,chi-0afa7a6d.ogg
114,给,gei3,to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle),chi-a361fbcf.ogg
115,羊肉,yang2 rou4,mutton,cmn-24c7f63f.ogg
116,考试,kao3 shi4,exam,chi-b84550ed.ogg
117,自行车,zi4 xing2 che1,bicycle; bike,chi-abb01e50.ogg
118,船,chuan2,a boat; vessel; ship,chi-e90a8b8c.ogg
119,药,yao4,medicine; drug; cure,chi-0389e19f.ogg
120,西瓜,xi1 gua1,watermelon,cmn-b97bb6f5.ogg
121,要,yao1,demand; ask; request; coerce,chi-f395e8bf.ogg
122,觉得,jue2 de5,to think; to feel,chi-56fc3a95.ogg
123,让,rang4,to yield; to permit; to let sb do sth; to have sb do sth,chi-1b854c9d.ogg
124,课,ke4,subject; course; class; lesson,chi-36f406e8.ogg
125,贵,gui4,expensive; noble; your (name); precious,chi-a1972983.ogg
126,走,zou3,to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 撤走); to change (shape, form, meaning),chi-6f2b10dd.ogg
127,起床,qi3 chuang2,to get up,chi-23aae511.ogg
128,跑步,pao3 bu4,to walk quickly; to march; to run,chi-901acd33.ogg
129,路,lu4,road; path; way,chi-eb0e0e5b.ogg
130,跳舞,tiao4 wu3,to dance,chi-0d37aee9.ogg
131,踢足球,ti1 zu2 qiu2,play soccer(football),cmn-4c74be7e.ogg
132,身体,shen1 ti3,(human) body; health,chi-17a1670c.ogg
133,过,guo4,(experienced action marker); to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; surname Guo,chi-102de6bc.ogg
134,运动,yun4 dong4,movement; campaign; sports,chi-3dda3fdc.ogg
135,近,jin4,near; close to; approximately,chi-9b1bb4d2.ogg
136,还,hai2,still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else,chi-d1fd7ab6.ogg
137,进,jin4,to advance; to enter; to come (or go) into; to receive or admit; to eat or drink; to submit or present; (used after a verb) into, in; to score a goal,chi-3a8097b4.ogg
138,远,yuan3,far; distant; remote,chi-743c4167.ogg
139,送,song4,to deliver; to carry; to give (as a present); to present (with); to see off; to send,chi-3e9201ef.ogg
140,错,cuo4,mistake; error; blunder; fault; cross; uneven; wrong,chi-a7837ff8.ogg
141,长,chang2,length; long; forever; always; constantly,chi-dbdc313e.ogg
142,门,men2,gate; door; gateway; doorway; opening; valve; switch; way to do something; knack; family; house; (religious) sect; school (of thought); class; category; phylum or division (taxonomy); classifier for large guns; classifier for lessons, subjects, branches of technology,chi-6836592e.ogg
143,问,wen4,to ask,chi-98d03c89.ogg
144,问题,wen4 ti2,question; problem; issue; topic,chi-cf218ced.ogg
145,阴,yin1,overcast (weather); cloudy; shady; Yin (the negative principle of Yin and Yang); negative (electric.); feminine; moon; implicit; hidden; genitalia,chi-02685fe8.ogg
146,雪,xue3,snow; snowfall; to have the appearance of snow; to wipe away, off or out; to clean,chi-59cea427.ogg
147,非常,fei1 chang2,unusual; extraordinary; extreme; very; exceptional,chi-826ea348.ogg
148,题,ti2,topic; problem for discussion; exam question; subject; to inscribe; to mention; surname Ti,cmn-3b97f720.ogg
149,颜色,yan2 se4,color,chi-6483aeb6.ogg
150,高,gao1,high; tall; above average; loud; your (honorific); surname Gao,chi-4327f978.ogg
151,鱼,yu2,fish,chi-3f843b81.ogg
152,鸡蛋,ji1 dan4,(chicken) egg; hen's egg,chi-56239123.ogg
153,黑,hei1,black; dark; abbr. for Heilongjiang 黑龍江|黑龙江 province in northeast China,chi-ca02f1ce.ogg